metadata:
voxel_size:0.025-0.025-0.025
name: bunny

points:
,PX,PY,PZ
0,-0.1,0.125,0
1,-0.1,0.125,0.025
2,-0.1,0.15,0.025
3,-0.075,0.075,0
4,-0.075,0.075,0.025
5,-0.075,0.1,-0
6,-0.075,0.1,0.025
7,-0.075,0.125,-0
8,-0.075,0.125,0.05
9,-0.075,0.15,-0.025
10,-0.075,0.15,0
11,-0.075,0.15,0.025
12,-0.075,0.15,0.05
13,-0.075,0.175,-0.05
14,-0.075,0.175,-0.025
15,-0.05,0.025,0
16,-0.05,0.025,0.025
17,-0.05,0.05,-0
18,-0.05,0.05,0.025
19,-0.05,0.075,-0.025
20,-0.05,0.075,0.05
21,-0.05,0.1,-0.025
22,-0.05,0.1,0.05
23,-0.05,0.125,-0
24,-0.05,0.125,0.025
25,-0.05,0.15,0
26,-0.05,0.15,0.025
27,-0.05,0.175,0
28,-0.025,0.025,-0.025
29,-0.025,0.025,0.05
30,-0.025,0.05,-0.025
31,-0.025,0.05,0
32,-0.025,0.05,0.025
33,-0.025,0.05,0.05
34,-0.025,0.075,-0.025
35,-0.025,0.075,0.05
36,-0.025,0.1,-0.025
37,-0.025,0.1,0.05
38,-0.025,0.125,0
39,-0.025,0.125,0.025
40,-0.025,0.175,-0.025
41,-0.025,0.175,-0
42,0,0.05,-0.025
43,0,0.05,0
44,0,0.05,0.025
45,0,0.05,0.05
46,0,0.075,-0.025
47,0,0.075,0.05
48,0,0.1,-0.025
49,0,0.1,0.05
50,0,0.125,0
51,0,0.125,0.025
52,-0,0.175,-0.025
53,0.025,0.025,0
54,0.025,0.025,0.025
55,0.025,0.05,-0.025
56,0.025,0.05,0.05
57,0.025,0.075,-0.025
58,0.025,0.075,0.05
59,0.025,0.1,-0.025
60,0.025,0.1,0.05
61,0.025,0.125,0
62,0.025,0.125,0.025
63,0.05,0.05,0
64,0.05,0.05,0.025
65,0.05,0.075,0
66,0.05,0.075,0.025
67,0.05,0.1,0
68,0.05,0.1,0.025
