str,end
77,91
77,92
77,90
77,316
77,314
77,301
77,302
77,300
91,90
91,92
91,105
91,106
91,104
91,316
91,314
92,106
92,105
92,331
92,345
92,316
92,317
90,104
90,105
90,327
90,341
90,314
90,313
316,301
316,302
316,317
316,331
316,541
314,300
314,301
314,313
314,327
314,538
314,537
301,300
301,302
301,538
301,525
301,526
302,317
302,541
302,526
302,525
300,313
300,538
300,537
300,525
104,105
104,119
104,341
104,356
104,327
105,106
105,119
105,120
105,356
327,313
327,341
327,564
327,579
327,550
341,356
341,579
341,593
341,564
313,550
313,564
313,537
313,538
106,120
106,119
106,345
106,359
106,331
331,317
331,345
331,570
331,584
331,556
345,120
345,122
345,359
345,360
345,584
345,598
345,570
317,556
317,570
317,541
119,120
119,133
119,134
119,132
119,356
356,132
356,133
356,369
356,593
356,607
356,579
120,134
120,135
120,133
120,359
359,122
359,134
359,135
359,136
359,360
359,598
359,584
133,132
133,134
133,147
133,148
133,146
134,135
134,148
134,149
134,147
132,146
132,147
132,369
132,383
135,122
135,136
135,149
135,150
135,148
135,360
122,136
122,137
122,360
122,375
136,137
136,150
136,149
136,375
136,389
136,360
137,150
137,375
137,389
137,360
360,375
360,598
360,599
360,613
360,584
375,150
375,389
375,613
375,627
375,599
375,598
146,147
146,161
146,383
146,398
146,369
147,148
147,161
147,162
147,398
369,383
369,607
369,621
369,593
383,398
383,621
383,635
383,607
148,149
148,162
148,163
148,161
149,150
149,163
149,164
149,162
150,164
150,163
150,389
150,403
389,164
389,403
389,627
389,641
389,613
161,162
161,175
161,176
161,398
161,413
161,414
161,412
398,175
398,412
398,413
398,411
398,635
398,621
162,163
162,176
162,177
162,175
162,414
162,415
162,413
163,164
163,177
163,176
163,415
163,416
163,414
164,177
164,403
164,416
164,415
403,416
403,641
403,654
403,627
175,176
175,413
175,414
175,412
176,177
176,414
176,415
176,413
413,412
413,414
413,665
413,666
413,664
414,177
414,415
414,653
414,666
414,665
412,411
412,664
412,665
412,663
412,635
177,415
177,416
415,416
415,653
415,654
415,666
416,654
416,653
416,641
538,525
538,537
538,775
538,762
538,763
537,550
537,775
537,788
537,762
525,526
525,763
525,764
525,762
525,749
525,748
526,541
526,764
526,765
526,763
526,751
526,749
541,556
541,780
541,794
541,765
541,764
550,564
550,788
550,802
550,775
564,579
564,802
564,816
564,788
556,570
556,794
556,809
556,780
570,584
570,809
570,822
570,794
579,593
579,816
579,830
579,802
584,598
584,599
584,822
584,836
584,809
593,607
593,830
593,845
593,816
598,599
598,613
598,836
598,850
598,822
607,621
607,845
607,859
607,830
599,613
599,836
599,850
599,822
613,627
613,850
613,864
613,836
621,635
621,859
621,873
621,845
627,641
627,864
627,878
627,850
635,410
635,411
635,648
635,873
635,887
635,888
635,886
635,859
641,654
641,878
641,892
641,864
411,410
411,424
411,648
411,663
411,664
654,653
654,892
654,891
654,878
654,877
410,424
410,648
410,647
410,663
410,661
424,663
424,661
424,676
424,675
424,648
424,647
648,647
648,663
648,661
648,886
648,887
648,885
648,900
648,899
648,873
647,646
647,661
647,660
647,885
647,886
647,899
647,900
647,898
663,664
663,676
663,902
663,900
663,887
663,888
663,886
661,436
661,646
661,660
661,675
661,676
661,674
661,899
661,900
661,898
661,885
661,886
664,665
664,902
664,903
664,888
664,887
665,666
665,903
665,904
665,902
665,888
666,653
666,904
666,903
666,891
653,891
653,892
653,904
653,877
653,878
676,675
676,900
676,899
675,436
675,660
675,674
675,899
675,900
675,898
436,674
436,673
436,687
436,660
436,659
674,659
674,660
674,673
674,687
674,911
674,898
674,899
674,897
673,659
673,660
673,672
673,687
673,686
673,911
673,910
673,897
673,898
687,672
687,686
687,911
687,910
660,646
660,659
660,898
660,899
660,897
660,911
660,885
659,646
659,672
659,897
659,898
659,911
659,910
482,483
482,496
482,497
482,720
482,721
482,733
483,497
483,496
483,721
483,722
483,720
483,736
496,497
496,733
496,748
496,749
496,720
496,721
497,736
497,749
497,748
497,721
497,722
497,720
720,721
720,733
720,958
720,959
720,957
720,971
