metadata:
name: bunny hit points

points:
,PX,PY,PZ
0,-0.0185694,0.125,0.025
1,-0.075,0.167738,-0.025
2,-0.0383994,0.15,0
3,-0.075,0.125,0.0530755
4,-0.075,0.136478,0.05
5,0.0516916,0.05,0
6,0.05,0.05,-0.00151232
7,0,0.129577,0
8,-0.025,0.122595,0.025
9,-0.025,0.125,0.0190871
10,-0.05,0.1,0.0426388
11,-0.05,0.075,0.0425047
12,0,0.129639,0.025
13,0,0.075,0.0578952
14,0,0.125,0.0324481
15,-0.025,0.05,0.0454613
16,-0.025,0.1,0.0439378
17,-0.025,0.0475695,0.05
18,0.0446553,0.075,0
19,-0.011207,0.05,0.05
20,0,0.047996,0.05
21,0,0.05,0.0520613
22,0.0518468,0.05,0.025
23,-0.0666438,0.125,0.05
24,0.05,0.05,0.026998
25,0.05,0.0481931,0
26,0.025,0.1,0.0430154
27,0.021588,0.075,0.05
28,-0.0269133,0.05,-0.025
29,-0.05,0.125,0.0323226
30,0.00946895,0.05,0.05
31,0.025,0.05,0.0394478
32,-0.05,0.15,0.0122036
33,0.0417704,0.1,0
34,0.0439805,0.075,0.025
35,0.025,0.075,0.0470919
36,-0.025,0.175,-0.011386
37,-0.093787,0.125,0.025
38,-0.0887015,0.15,0.025
39,0,0.125,-0.00780577
40,-0.00962401,0.175,-0.025
41,0.040825,0.1,0.025
42,0.05,0.069035,0.025
43,-0.0538942,0.15,0.025
44,-0.065767,0.175,-0.05
45,-0.075,0.175,-0.041298
46,-0.075,0.155305,0.025
47,-0.0318779,0.125,0
48,-0.0635533,0.15,-0.025
49,-0.075,0.15,0.0382206
50,-0.0453184,0.125,0.025
51,-0.05,0.134902,0.025
52,-0.025,0.125,0.000938526
53,0.025,0.121999,0.025
54,-0.0527742,0.05,0.025
55,0,0.0990371,0.05
56,0,0.1,0.0478639
57,-0.075,0.17918,-0.05
58,0.0199671,0.125,0.025
59,-0.05,0.05,-0.00837097
60,-0.025,0.0771432,0.05
61,-0.025,0.1,-0.0238489
62,-0.0238666,0.075,0.05
63,-0.025,0.075,0.0483816
64,-0.0843633,0.125,0.05
65,-0.0865803,0.1,0.025
66,-0.075,0.1,0.0374893
67,0.025,0.121742,0
68,-0.025,0.0897747,0.05
69,0.025,0.1,-0.019087
70,-0.0753613,0.175,-0.05
71,-0.075,0.174821,-0.05
72,-0.075,0.175,-0.0501815
73,-0.0334391,0.075,-0.025
74,-0.075,0.149835,-0.025
75,-0.0751152,0.15,-0.025
76,-0.075,0.15105,-0.025
77,-0.075,0.15,-0.0261745
78,-0.075,0.151775,-0.025
79,-0.075,0.15116,-0.025
80,-0.075,0.157396,-0.025
81,-0.025,0.0383463,0
82,0,0.0990619,-0.025
83,0,0.1,-0.0237882
84,-0.0851777,0.1,0
85,-0.0876389,0.125,0
86,-0.0797785,0.15,0
87,-0.0804874,0.075,0
88,-0.075,0.154948,0
89,-0.0570714,0.05,0
90,-0.075,0.069472,0
91,0,0.0386789,0
92,-0.05,0.05,0.0364746
93,-0.05,0.125,-0.00771406
94,-0.05,0.133753,0
95,-0.0239021,0.125,0
96,-0.025,0.12476,0
97,0.020005,0.125,0
98,0.05,0.0660777,0
99,-0.05,0.165492,0
100,-0.075,0.125,-0.00793004
101,0.0252319,0.075,-0.025
102,0.025,0.0763494,-0.025
103,0.025,0.075,-0.0251311
104,0.025,0.05,-0.0205127
105,0.025,0.0710556,-0.025
106,0.0170948,0.05,-0.025
107,-0.025,0.0962368,-0.025
108,-0.075,0.1,-0.0120752
109,-0.05,0.075,-0.0176699
110,0,0.075,-0.0355247
111,0,0.05,-0.0304006
112,0,0.0428143,-0.025
113,-0.075,0.075,-0.00870493
114,-0.0163241,0.175,-0.025
115,-0.05,0.1,-0.0216798
116,-0.025,0.05,-0.0268918
117,-0.025,0.075,-0.0372415
118,-0.025,0.175,-0.0197379
119,-0.05,0.15,-0.00367366
120,-0.025,0.0350005,0.05
121,0.025,0.0364846,0
122,-0.05,0.144878,0
123,-0.025,0.0382184,0.025
124,0.025,0.0363288,0.025
125,-0.0797484,0.075,0.025
126,-0.075,0.0696457,0.025
127,-0.075,0.114025,0.05
128,-0.075,0.075,0.0330377
129,0,0.0386628,0.025
130,-0.05,0.0335155,0
131,0.05,0.0481329,0.025
132,-0.05,0.0338567,0.025
133,-0.025,0.0335485,-0.025
