metadata:
name: bunny hit points

points:
,PX,PY,PZ
0,-0.0940679,0.127,0.021
1,-0.0929763,0.129,0.017
2,-0.0931939,0.129,0.019
3,-0.0916672,0.131,0.011
4,-0.0918848,0.131,0.013
5,-0.0921024,0.131,0.015
6,-0.0923199,0.131,0.017
7,-0.0925375,0.131,0.019
8,-0.0905756,0.133,0.007
9,-0.0907932,0.133,0.009
10,-0.0910108,0.133,0.011
11,-0.0912284,0.133,0.013
12,-0.091446,0.133,0.015
13,-0.0916635,0.133,0.017
14,-0.090572,0.135,0.013
15,-0.0907896,0.135,0.015
16,-0.0910071,0.135,0.017
17,-0.093,0.128928,0.017
18,-0.093,0.129591,0.019
19,-0.091,0.13237,0.009
20,-0.091,0.133033,0.011
21,-0.091,0.133696,0.013
22,-0.091,0.134359,0.015
23,-0.091,0.135022,0.017
24,-0.093,0.129,0.0172175
25,-0.091,0.133,0.0109008
26,-0.091,0.135,0.0169344
27,-0.0195137,0.127,0.005
28,-0.0201617,0.127,0.007
29,-0.0208097,0.127,0.009
30,-0.0086253,0.129,0.005
31,-0.0092733,0.129,0.007
32,-0.0099213,0.129,0.009
33,-0.0105693,0.129,0.011
34,-0.0112173,0.129,0.013
35,-0.0118653,0.129,0.015
36,-0.0125133,0.129,0.017
37,0.00226314,0.131,0.005
38,0.00161514,0.131,0.007
39,0.000967146,0.131,0.009
40,0.000319148,0.131,0.011
41,-0.000328849,0.131,0.013
42,-0.027,0.125625,0.005
43,-0.025,0.125992,0.005
44,-0.025,0.126111,0.007
45,-0.023,0.12636,0.005
46,-0.023,0.126479,0.007
47,-0.023,0.126598,0.009
48,-0.021,0.126727,0.005
49,-0.021,0.126846,0.007
50,-0.021,0.126965,0.009
51,-0.021,0.127084,0.011
52,-0.019,0.127094,0.005
53,-0.019,0.127213,0.007
54,-0.019,0.127332,0.009
55,-0.019,0.127451,0.011
56,-0.019,0.12757,0.013
57,-0.017,0.127462,0.005
58,-0.017,0.127581,0.007
59,-0.017,0.1277,0.009
60,-0.017,0.127819,0.011
61,-0.017,0.127938,0.013
62,-0.015,0.127829,0.005
63,-0.015,0.127948,0.007
64,-0.015,0.128067,0.009
65,-0.015,0.128186,0.011
66,-0.015,0.128305,0.013
67,-0.015,0.128424,0.015
68,-0.013,0.128196,0.005
69,-0.013,0.128315,0.007
70,-0.013,0.128435,0.009
71,-0.013,0.128554,0.011
72,-0.013,0.128673,0.013
73,-0.013,0.128792,0.015
74,-0.013,0.128911,0.017
75,-0.011,0.128564,0.005
76,-0.011,0.128683,0.007
77,-0.011,0.128802,0.009
78,-0.011,0.128921,0.011
79,-0.011,0.12904,0.013
80,-0.011,0.129159,0.015
81,-0.011,0.129278,0.017
82,-0.011,0.129397,0.019
83,-0.009,0.128931,0.005
84,-0.009,0.12905,0.007
85,-0.009,0.129169,0.009
86,-0.009,0.129288,0.011
87,-0.009,0.129407,0.013
88,-0.009,0.129526,0.015
89,-0.009,0.129645,0.017
90,-0.009,0.129764,0.019
91,-0.009,0.129883,0.021
92,-0.007,0.129299,0.005
93,-0.007,0.129418,0.007
94,-0.007,0.129537,0.009
95,-0.007,0.129656,0.011
96,-0.007,0.129775,0.013
97,-0.007,0.129894,0.015
98,-0.007,0.130013,0.017
99,-0.007,0.130132,0.019
100,-0.007,0.130251,0.021
101,-0.005,0.129666,0.005
102,-0.005,0.129785,0.007
103,-0.005,0.129904,0.009
104,-0.005,0.130023,0.011
105,-0.005,0.130142,0.013
106,-0.005,0.130261,0.015
107,-0.005,0.13038,0.017
108,-0.005,0.130499,0.019
109,-0.005,0.130618,0.021
110,-0.003,0.130033,0.005
111,-0.003,0.130152,0.007
112,-0.003,0.130271,0.009
113,-0.003,0.13039,0.011
114,-0.003,0.130509,0.013
115,-0.003,0.130628,0.015
116,-0.003,0.130747,0.017
117,-0.001,0.130401,0.005
118,-0.001,0.13052,0.007
119,-0.001,0.130639,0.009
120,-0.001,0.130758,0.011
121,-0.001,0.130877,0.013
122,0.001,0.130768,0.005
123,0.001,0.130887,0.007
124,0.001,0.131006,0.009
125,0.001,0.131125,0.011
126,0.003,0.131135,0.005
127,0.003,0.131254,0.007
128,-0.021,0.127,0.00958722
129,-0.011,0.129,0.0123293
130,-0.009,0.129,0.00615648
131,0.001,0.131,0.0088986
132,-0.0397588,0.045,-0.023
133,-0.0386927,0.047,-0.019
134,-0.0407412,0.047,-0.017
135,-0.0355781,0.049,-0.017
136,-0.0376266,0.049,-0.015
137,-0.0396752,0.049,-0.013
138,-0.0417237,0.049,-0.011
139,-0.034512,0.051,-0.013
140,-0.0365605,0.051,-0.011
141,-0.041,0.0468998,-0.017
142,-0.041,0.0476933,-0.015
143,-0.041,0.0484868,-0.013
144,-0.041,0.0492803,-0.011
145,-0.039,0.0445004,-0.025
146,-0.039,0.0452939,-0.023
147,-0.039,0.0460874,-0.021
148,-0.039,0.046881,-0.019
149,-0.039,0.0476745,-0.017
150,-0.039,0.048468,-0.015
151,-0.039,0.0492615,-0.013
152,-0.039,0.0500551,-0.011
153,-0.037,0.0468622,-0.021
154,-0.037,0.0476557,-0.019
155,-0.037,0.0484492,-0.017
156,-0.037,0.0492427,-0.015
157,-0.037,0.0500362,-0.013
158,-0.037,0.0508298,-0.011
159,-0.035,0.0500174,-0.015
160,-0.035,0.050811,-0.013
161,-0.035,0.0516045,-0.011
162,-0.033,0.0523792,-0.011
163,-0.041,0.047,-0.0167474
164,-0.041,0.049,-0.0117065
165,-0.039,0.045,-0.0237408
166,-0.039,0.047,-0.0187
167,-0.039,0.049,-0.0136592
168,-0.037,0.047,-0.0206526
169,-0.037,0.049,-0.0156118
170,-0.037,0.051,-0.010571
171,-0.035,0.051,-0.0125236
172,-0.0681688,0.167,-0.025
173,-0.0688407,0.167,-0.023
174,-0.0695126,0.167,-0.021
175,-0.0635697,0.169,-0.045
176,-0.0642416,0.169,-0.043
177,-0.0649134,0.169,-0.041
178,-0.0655853,0.169,-0.039
179,-0.0662572,0.169,-0.037
180,-0.066929,0.169,-0.035
181,-0.0676009,0.169,-0.033
182,-0.0682727,0.169,-0.031
183,-0.0689446,0.169,-0.029
184,-0.0696164,0.169,-0.027
185,-0.0702883,0.169,-0.025
186,-0.0656892,0.171,-0.045
187,-0.066361,0.171,-0.043
188,-0.0670329,0.171,-0.041
189,-0.0677048,0.171,-0.039
190,-0.0683766,0.171,-0.037
191,-0.0690485,0.171,-0.035
192,-0.0697203,0.171,-0.033
193,-0.0703922,0.171,-0.031
194,-0.0671368,0.173,-0.047
195,-0.0678087,0.173,-0.045
196,-0.0684805,0.173,-0.043
197,-0.0691524,0.173,-0.041
198,-0.0698242,0.173,-0.039
199,-0.0704961,0.173,-0.037
200,-0.071168,0.173,-0.035
201,-0.0685844,0.175,-0.049
202,-0.0692563,0.175,-0.047
203,-0.0699281,0.175,-0.045
204,-0.0706,0.175,-0.043
205,-0.0712719,0.175,-0.041
206,-0.0707039,0.177,-0.049
207,-0.0713758,0.177,-0.047
208,-0.0720476,0.177,-0.045
209,-0.0721515,0.179,-0.051
210,-0.0728234,0.179,-0.049
211,-0.073,0.179801,-0.051
212,-0.073,0.179167,-0.049
213,-0.071,0.177279,-0.049
214,-0.071,0.176645,-0.047
215,-0.071,0.176011,-0.045
216,-0.071,0.175377,-0.043
217,-0.071,0.174743,-0.041
218,-0.071,0.174109,-0.039
219,-0.071,0.173475,-0.037
220,-0.071,0.172842,-0.035
221,-0.071,0.172208,-0.033
222,-0.071,0.171574,-0.031
223,-0.069,0.175392,-0.049
224,-0.069,0.174758,-0.047
225,-0.069,0.174124,-0.045
226,-0.069,0.17349,-0.043
