metadata:
voxel_size:0.01-0.01-0.01
name: bunny

points:
,PX,PY,PZ
0,-0.09,0.08,0
1,-0.09,0.08,0.02
2,-0.09,0.1,0
3,-0.09,0.1,0.02
4,-0.09,0.11,0
5,-0.09,0.11,0.02
6,-0.09,0.11,0.04
7,-0.09,0.12,0
8,-0.09,0.12,0.02
9,-0.09,0.12,0.04
10,-0.09,0.14,0
11,-0.09,0.14,0.02
12,-0.09,0.14,0.04
13,-0.08,0.07,0
14,-0.08,0.07,0.02
15,-0.08,0.08,-0.01
16,-0.08,0.08,0
17,-0.08,0.08,0.02
18,-0.08,0.08,0.03
19,-0.08,0.08,0.04
20,-0.08,0.09,0.02
21,-0.08,0.1,-0.01
22,-0.08,0.1,-0
23,-0.08,0.1,0.02
24,-0.08,0.1,0.03
25,-0.08,0.1,0.04
26,-0.08,0.11,0
27,-0.08,0.11,0.02
28,-0.08,0.11,0.04
29,-0.08,0.11,0.05
30,-0.08,0.12,-0.01
31,-0.08,0.12,-0
32,-0.08,0.12,0.05
33,-0.08,0.14,-0.01
34,-0.08,0.14,-0
35,-0.08,0.14,0.01
36,-0.08,0.14,0.04
37,-0.08,0.14,0.05
38,-0.08,0.15,-0.02
39,-0.08,0.15,0
40,-0.08,0.15,0.02
41,-0.08,0.15,0.04
42,-0.08,0.16,-0.04
43,-0.08,0.16,-0.03
44,-0.08,0.16,-0.02
45,-0.08,0.16,-0
46,-0.08,0.16,0.02
47,-0.08,0.16,0.03
48,-0.08,0.17,-0.04
49,-0.08,0.17,-0.03
50,-0.08,0.17,-0.02
51,-0.08,0.18,-0.05
52,-0.08,0.18,-0.04
53,-0.07,0.04,0
54,-0.07,0.04,0.02
55,-0.07,0.06,0
56,-0.07,0.06,0.02
57,-0.07,0.08,-0.02
58,-0.07,0.08,0.04
59,-0.07,0.1,-0.02
60,-0.07,0.11,-0
61,-0.07,0.11,0.04
62,-0.07,0.14,-0.02
63,-0.07,0.14,0.04
64,-0.07,0.16,-0.06
65,-0.07,0.16,-0.04
66,-0.07,0.16,-0.03
67,-0.07,0.16,-0.02
68,-0.07,0.16,-0
69,-0.07,0.16,0.02
70,-0.07,0.18,-0.06
71,-0.07,0.18,-0.04
72,-0.06,0.03,-0
73,-0.06,0.03,0.02
74,-0.06,0.03,0.04
75,-0.06,0.04,-0.01
76,-0.06,0.04,0
77,-0.06,0.04,0.01
78,-0.06,0.04,0.02
79,-0.06,0.04,0.03
80,-0.06,0.04,0.04
81,-0.06,0.05,0
82,-0.06,0.05,0.02
83,-0.06,0.05,0.04
84,-0.06,0.06,-0.01
85,-0.06,0.06,-0
86,-0.06,0.06,0.01
87,-0.06,0.06,0.02
88,-0.06,0.06,0.03
89,-0.06,0.07,-0.02
90,-0.06,0.07,-0
91,-0.06,0.07,0.04
92,-0.06,0.08,-0.02
93,-0.06,0.08,0.04
94,-0.06,0.09,0.04
95,-0.06,0.1,-0.02
96,-0.06,0.1,0.04
97,-0.06,0.11,-0.02
98,-0.06,0.11,-0.01
99,-0.06,0.11,0.03
100,-0.06,0.11,0.04
101,-0.06,0.12,-0.01
102,-0.06,0.12,0.04
103,-0.06,0.12,0.05
104,-0.06,0.13,-0
105,-0.06,0.13,0.04
106,-0.06,0.14,-0.02
107,-0.06,0.14,-0.01
108,-0.06,0.14,-0
109,-0.06,0.14,0.03
110,-0.06,0.14,0.04
111,-0.06,0.15,-0.03
112,-0.06,0.15,-0.02
113,-0.06,0.15,-0
114,-0.06,0.15,0.02
115,-0.06,0.15,0.04
116,-0.06,0.16,-0.06
117,-0.06,0.16,-0.04
118,-0.06,0.16,-0.03
119,-0.06,0.16,-0.02
120,-0.06,0.16,-0.01
121,-0.06,0.16,0
122,-0.06,0.16,0.01
123,-0.06,0.16,0.02
124,-0.06,0.16,0.03
125,-0.06,0.17,-0.04
126,-0.06,0.17,-0.03
127,-0.06,0.18,-0.06
128,-0.06,0.18,-0.05
129,-0.05,0.04,-0.02
130,-0.05,0.06,-0.02
131,-0.05,0.06,-0
132,-0.05,0.06,0.02
133,-0.05,0.06,0.04
134,-0.05,0.11,-0.02
135,-0.05,0.12,0.02
136,-0.05,0.12,0.04
137,-0.05,0.14,0
138,-0.05,0.14,0.02
139,-0.05,0.16,-0
140,-0.04,0.03,-0.02
141,-0.04,0.03,0
142,-0.04,0.03,0.02
143,-0.04,0.03,0.04
