metadata:
voxel_size:0.002-0.002-0.002
name: bunny

points:
,PX,PY,PZ
0,-0.094,0.116,0.012
1,-0.094,0.116,0.014
2,-0.094,0.116,0.016
3,-0.094,0.116,0.018
4,-0.094,0.118,0.012
5,-0.094,0.118,0.014
6,-0.094,0.118,0.016
7,-0.094,0.118,0.018
8,-0.094,0.118,0.02
9,-0.094,0.118,0.022
10,-0.094,0.12,0.014
11,-0.094,0.12,0.016
12,-0.094,0.12,0.018
13,-0.094,0.12,0.02
14,-0.094,0.12,0.022
15,-0.094,0.12,0.024
16,-0.094,0.12,0.026
17,-0.094,0.12,0.028
18,-0.094,0.12,0.03
19,-0.094,0.122,0.014
20,-0.094,0.122,0.016
21,-0.094,0.122,0.018
22,-0.094,0.122,0.02
23,-0.094,0.122,0.022
24,-0.094,0.122,0.024
25,-0.094,0.122,0.026
26,-0.094,0.122,0.028
27,-0.094,0.122,0.03
28,-0.094,0.122,0.032
29,-0.094,0.122,0.034
30,-0.094,0.122,0.036
31,-0.094,0.122,0.038
32,-0.094,0.122,0.04
33,-0.094,0.124,0.014
34,-0.094,0.124,0.016
35,-0.094,0.124,0.018
36,-0.094,0.124,0.02
37,-0.094,0.124,0.022
38,-0.094,0.124,0.024
39,-0.094,0.124,0.026
40,-0.094,0.124,0.028
41,-0.094,0.124,0.03
42,-0.094,0.124,0.032
43,-0.094,0.124,0.034
44,-0.094,0.124,0.036
45,-0.094,0.124,0.038
46,-0.094,0.126,0.014
47,-0.094,0.126,0.016
48,-0.094,0.126,0.018
49,-0.094,0.126,0.02
50,-0.094,0.126,0.022
51,-0.094,0.126,0.024
52,-0.094,0.126,0.026
53,-0.094,0.126,0.028
54,-0.094,0.126,0.03
55,-0.094,0.126,0.032
56,-0.094,0.128,0.016
57,-0.094,0.128,0.018
58,-0.094,0.128,0.02
59,-0.094,0.128,0.022
60,-0.094,0.128,0.024
61,-0.094,0.128,0.026
62,-0.094,0.128,0.028
63,-0.094,0.13,0.018
64,-0.094,0.13,0.02
65,-0.094,0.13,0.022
66,-0.092,0.114,0.01
67,-0.092,0.114,0.012
68,-0.092,0.114,0.014
69,-0.092,0.114,0.016
70,-0.092,0.114,0.018
71,-0.092,0.114,0.02
72,-0.092,0.114,0.022
73,-0.092,0.114,0.034
74,-0.092,0.114,0.036
75,-0.092,0.114,0.038
76,-0.092,0.116,0.008
77,-0.092,0.116,0.01
78,-0.092,0.116,0.012
79,-0.092,0.116,0.014
80,-0.092,0.116,0.016
81,-0.092,0.116,0.018
82,-0.092,0.116,0.02
83,-0.092,0.116,0.022
84,-0.092,0.116,0.024
85,-0.092,0.116,0.026
86,-0.092,0.116,0.028
87,-0.092,0.116,0.03
88,-0.092,0.116,0.032
89,-0.092,0.116,0.034
90,-0.092,0.116,0.036
91,-0.092,0.116,0.038
92,-0.092,0.116,0.04
93,-0.092,0.116,0.042
94,-0.092,0.118,0.008
95,-0.092,0.118,0.01
96,-0.092,0.118,0.012
97,-0.092,0.118,0.014
98,-0.092,0.118,0.018
99,-0.092,0.118,0.02
100,-0.092,0.118,0.022
101,-0.092,0.118,0.024
102,-0.092,0.118,0.026
103,-0.092,0.118,0.028
104,-0.092,0.118,0.03
105,-0.092,0.118,0.032
106,-0.092,0.118,0.034
107,-0.092,0.118,0.036
108,-0.092,0.118,0.038
109,-0.092,0.118,0.04
110,-0.092,0.118,0.042
111,-0.092,0.12,0.008
112,-0.092,0.12,0.01
113,-0.092,0.12,0.012
114,-0.092,0.12,0.014
115,-0.092,0.12,0.022
116,-0.092,0.12,0.024
117,-0.092,0.12,0.026
118,-0.092,0.12,0.028
119,-0.092,0.12,0.03
120,-0.092,0.12,0.032
121,-0.092,0.12,0.034
122,-0.092,0.12,0.036
123,-0.092,0.12,0.038
124,-0.092,0.12,0.04
125,-0.092,0.12,0.042
126,-0.092,0.12,0.044
127,-0.092,0.122,0.008
128,-0.092,0.122,0.01
129,-0.092,0.122,0.012
130,-0.092,0.122,0.014
131,-0.092,0.122,0.03
132,-0.092,0.122,0.032
133,-0.092,0.122,0.034
134,-0.092,0.122,0.036
135,-0.092,0.122,0.038
136,-0.092,0.122,0.04
137,-0.092,0.122,0.042
138,-0.092,0.122,0.044
139,-0.092,0.124,0.008
140,-0.092,0.124,0.01
141,-0.092,0.124,0.012
142,-0.092,0.124,0.014
143,-0.092,0.124,0.032
144,-0.092,0.124,0.034
145,-0.092,0.124,0.036
146,-0.092,0.124,0.038
147,-0.092,0.124,0.04
148,-0.092,0.124,0.042
149,-0.092,0.124,0.044
150,-0.092,0.126,0.008
151,-0.092,0.126,0.01
152,-0.092,0.126,0.012
153,-0.092,0.126,0.014
154,-0.092,0.126,0.016
155,-0.092,0.126,0.028
156,-0.092,0.126,0.03
157,-0.092,0.126,0.032
158,-0.092,0.126,0.034
159,-0.092,0.126,0.036
160,-0.092,0.126,0.038
161,-0.092,0.126,0.04
162,-0.092,0.126,0.042
163,-0.092,0.128,0.008
164,-0.092,0.128,0.01
165,-0.092,0.128,0.012
166,-0.092,0.128,0.014
167,-0.092,0.128,0.016
168,-0.092,0.128,0.018
169,-0.092,0.128,0.022
170,-0.092,0.128,0.024
171,-0.092,0.128,0.026
172,-0.092,0.128,0.028
173,-0.092,0.128,0.03
174,-0.092,0.128,0.032
175,-0.092,0.128,0.034
176,-0.092,0.128,0.036
177,-0.092,0.128,0.038
178,-0.092,0.128,0.04
179,-0.092,0.128,0.042
180,-0.092,0.13,0.008
181,-0.092,0.13,0.01
182,-0.092,0.13,0.012
183,-0.092,0.13,0.014
184,-0.092,0.13,0.016
185,-0.092,0.13,0.018
186,-0.092,0.13,0.02
187,-0.092,0.13,0.022
188,-0.092,0.13,0.024
189,-0.092,0.13,0.026
190,-0.092,0.13,0.028
191,-0.092,0.13,0.03
192,-0.092,0.13,0.032
193,-0.092,0.13,0.034
194,-0.092,0.13,0.036
195,-0.092,0.13,0.038
196,-0.092,0.13,0.04
197,-0.092,0.132,0.008
198,-0.092,0.132,0.01
199,-0.092,0.132,0.012
200,-0.092,0.132,0.014
201,-0.092,0.132,0.016
202,-0.092,0.132,0.018
203,-0.092,0.132,0.02
204,-0.092,0.132,0.022
205,-0.092,0.132,0.024
206,-0.092,0.132,0.026
207,-0.092,0.132,0.028
208,-0.092,0.132,0.03
209,-0.092,0.132,0.032
210,-0.092,0.132,0.034
211,-0.092,0.132,0.036
212,-0.092,0.132,0.038
213,-0.092,0.132,0.04
214,-0.092,0.134,0.01
215,-0.092,0.134,0.012
216,-0.092,0.134,0.014
217,-0.092,0.134,0.016
218,-0.092,0.134,0.018
219,-0.092,0.134,0.02
220,-0.092,0.134,0.022
221,-0.092,0.134,0.024
222,-0.092,0.136,0.016
223,-0.092,0.136,0.018
224,-0.092,0.142,0.016
225,-0.092,0.142,0.018
226,-0.092,0.144,0.016
227,-0.092,0.144,0.018
228,-0.092,0.146,0.016
229,-0.092,0.146,0.018
230,-0.092,0.146,0.02
231,-0.092,0.148,0.016
232,-0.092,0.148,0.018
233,-0.092,0.148,0.02
234,-0.092,0.15,0.016
235,-0.092,0.15,0.018
236,-0.09,0.088,0.008
237,-0.09,0.088,0.01
238,-0.09,0.09,0.008
239,-0.09,0.09,0.01
240,-0.09,0.09,0.012
241,-0.09,0.09,0.014
242,-0.09,0.092,0.008
243,-0.09,0.092,0.01
244,-0.09,0.092,0.012
245,-0.09,0.092,0.014
246,-0.09,0.092,0.016
247,-0.09,0.094,0.01
248,-0.09,0.094,0.012
249,-0.09,0.094,0.014
250,-0.09,0.094,0.016
251,-0.09,0.094,0.018
252,-0.09,0.096,0.01
253,-0.09,0.096,0.012
254,-0.09,0.096,0.014
255,-0.09,0.096,0.016
256,-0.09,0.096,0.018
257,-0.09,0.096,0.02
258,-0.09,0.098,0.01
259,-0.09,0.098,0.012
260,-0.09,0.098,0.014
261,-0.09,0.098,0.016
262,-0.09,0.098,0.018
263,-0.09,0.098,0.02
264,-0.09,0.1,0.01
265,-0.09,0.1,0.012
266,-0.09,0.1,0.014
267,-0.09,0.1,0.016
268,-0.09,0.1,0.018
269,-0.09,0.102,0.012
270,-0.09,0.102,0.014
271,-0.09,0.102,0.016
272,-0.09,0.112,0.008
273,-0.09,0.112,0.01
274,-0.09,0.112,0.012
275,-0.09,0.112,0.014
276,-0.09,0.112,0.016
277,-0.09,0.112,0.018
278,-0.09,0.112,0.02
279,-0.09,0.112,0.022
280,-0.09,0.112,0.036
281,-0.09,0.112,0.038
282,-0.09,0.112,0.04
283,-0.09,0.114,0.006
284,-0.09,0.114,0.008
285,-0.09,0.114,0.01
286,-0.09,0.114,0.012
287,-0.09,0.114,0.014
288,-0.09,0.114,0.016
289,-0.09,0.114,0.018
290,-0.09,0.114,0.02
291,-0.09,0.114,0.022
292,-0.09,0.114,0.024
293,-0.09,0.114,0.026
294,-0.09,0.114,0.028
295,-0.09,0.114,0.03
296,-0.09,0.114,0.032
297,-0.09,0.114,0.034
298,-0.09,0.114,0.036
299,-0.09,0.114,0.038
300,-0.09,0.114,0.04
301,-0.09,0.114,0.042
302,-0.09,0.114,0.044
303,-0.09,0.116,0.006
304,-0.09,0.116,0.008
305,-0.09,0.116,0.01
306,-0.09,0.116,0.022
307,-0.09,0.116,0.024
308,-0.09,0.116,0.026
309,-0.09,0.116,0.028
310,-0.09,0.116,0.03
311,-0.09,0.116,0.032
312,-0.09,0.116,0.034
313,-0.09,0.116,0.038
314,-0.09,0.116,0.04
315,-0.09,0.116,0.042
316,-0.09,0.116,0.044
317,-0.09,0.118,0.004
318,-0.09,0.118,0.006
319,-0.09,0.118,0.008
320,-0.09,0.118,0.042
321,-0.09,0.118,0.044
322,-0.09,0.118,0.046
323,-0.09,0.12,0.004
324,-0.09,0.12,0.006
325,-0.09,0.12,0.008
326,-0.09,0.12,0.042
327,-0.09,0.12,0.044
328,-0.09,0.12,0.046
329,-0.09,0.122,0.004
330,-0.09,0.122,0.006
331,-0.09,0.122,0.008
332,-0.09,0.122,0.044
333,-0.09,0.122,0.046
334,-0.09,0.124,0.004
335,-0.09,0.124,0.006
336,-0.09,0.124,0.008
337,-0.09,0.124,0.042
338,-0.09,0.124,0.044
339,-0.09,0.124,0.046
340,-0.09,0.126,0.004
341,-0.09,0.126,0.006
