,PX,PY,PZ
0,-0.09,0.08,0.01
1,-0.09,0.09,0
2,-0.09,0.09,0.01
3,-0.09,0.09,0.02
4,-0.09,0.1,0
5,-0.09,0.1,0.01
6,-0.09,0.1,0.02
7,-0.09,0.11,0.01
8,-0.09,0.11,0.02
9,-0.09,0.11,0.04
10,-0.09,0.12,0
11,-0.09,0.12,0.01
12,-0.09,0.12,0.02
13,-0.09,0.12,0.03
14,-0.09,0.12,0.04
15,-0.09,0.12,0.05
16,-0.09,0.13,0
17,-0.09,0.13,0.01
18,-0.09,0.13,0.02
19,-0.09,0.13,0.03
20,-0.09,0.13,0.04
21,-0.09,0.14,0.01
22,-0.09,0.14,0.02
23,-0.09,0.14,0.03
24,-0.09,0.14,0.04
25,-0.09,0.15,0.01
26,-0.09,0.15,0.02
27,-0.09,0.15,0.03
28,-0.08,0.07,0
29,-0.08,0.07,0.01
30,-0.08,0.07,0.02
31,-0.08,0.08,-0.01
32,-0.08,0.08,0
33,-0.08,0.08,0.02
34,-0.08,0.08,0.03
35,-0.08,0.09,-0.01
36,-0.08,0.09,0.03
37,-0.08,0.1,-0.01
38,-0.08,0.1,0.03
39,-0.08,0.11,-0
40,-0.08,0.11,0.03
41,-0.08,0.11,0.04
42,-0.08,0.12,-0.01
43,-0.08,0.12,0.05
44,-0.08,0.13,-0.01
45,-0.08,0.13,0.05
46,-0.08,0.14,0
47,-0.08,0.14,0.05
48,-0.08,0.15,-0.02
49,-0.08,0.15,-0.01
50,-0.08,0.15,0
51,-0.08,0.15,0.01
52,-0.08,0.15,0.02
53,-0.08,0.15,0.03
54,-0.08,0.15,0.04
55,-0.08,0.16,-0.02
56,-0.08,0.17,-0.04
57,-0.07,0.03,0
58,-0.07,0.04,0.01
59,-0.07,0.04,0.03
60,-0.07,0.06,0.01
61,-0.07,0.06,0.02
62,-0.07,0.07,-0.01
63,-0.07,0.07,0
64,-0.07,0.07,0.03
65,-0.07,0.08,-0.02
66,-0.07,0.08,0.04
67,-0.07,0.09,-0.02
68,-0.07,0.09,0.04
69,-0.07,0.1,-0.01
70,-0.07,0.1,0.04
71,-0.07,0.11,-0.01
72,-0.07,0.11,0.04
73,-0.07,0.11,0.05
74,-0.07,0.12,-0.01
75,-0.07,0.12,0.05
76,-0.07,0.13,-0.01
77,-0.07,0.13,0.05
78,-0.07,0.14,-0.01
79,-0.07,0.14,0.05
80,-0.07,0.15,-0.04
81,-0.07,0.15,-0.03
82,-0.07,0.15,-0.02
83,-0.07,0.15,0.03
84,-0.07,0.15,0.04
85,-0.07,0.16,-0.05
86,-0.07,0.16,-0.04
87,-0.07,0.16,-0.03
88,-0.07,0.16,-0.01
89,-0.07,0.16,0
90,-0.07,0.16,0.01
91,-0.07,0.16,0.02
92,-0.07,0.17,-0.06
93,-0.07,0.17,-0.05
94,-0.07,0.17,-0.04
95,-0.07,0.17,-0.03
96,-0.07,0.17,-0.02
97,-0.07,0.18,-0.06
98,-0.07,0.18,-0.05
99,-0.06,0.03,0
100,-0.06,0.03,0.01
101,-0.06,0.03,0.02
102,-0.06,0.03,0.03
103,-0.06,0.03,0.04
104,-0.06,0.04,-0.01
105,-0.06,0.04,0.02
106,-0.06,0.04,0.04
107,-0.06,0.05,0
108,-0.06,0.05,0.01
109,-0.06,0.05,0.03
110,-0.06,0.05,0.04
111,-0.06,0.06,0
112,-0.06,0.06,0.01
113,-0.06,0.06,0.02
114,-0.06,0.06,0.03
115,-0.06,0.07,-0.01
116,-0.06,0.07,0.04
117,-0.06,0.08,-0.02
118,-0.06,0.08,0.04
119,-0.06,0.09,-0.02
120,-0.06,0.09,0.05
121,-0.06,0.1,-0.02
122,-0.06,0.1,0.04
123,-0.06,0.11,-0.02
124,-0.06,0.11,0.04
125,-0.06,0.12,-0.01
126,-0.06,0.12,0.04
127,-0.06,0.13,-0.01
128,-0.06,0.13,0.04
129,-0.06,0.14,-0.01
130,-0.06,0.14,0.03
131,-0.06,0.14,0.04
132,-0.06,0.15,-0.03
133,-0.06,0.15,-0.02
134,-0.06,0.15,-0.01
135,-0.06,0.15,-0
136,-0.06,0.15,0.03
137,-0.06,0.15,0.04
138,-0.06,0.16,-0.05
139,-0.06,0.16,-0.04
140,-0.06,0.16,-0.03
141,-0.06,0.16,-0.02
142,-0.06,0.16,0
143,-0.06,0.16,0.01
144,-0.06,0.16,0.02
145,-0.06,0.17,-0.06
146,-0.06,0.17,-0.05
147,-0.05,0.03,-0.01
148,-0.05,0.03,0
149,-0.05,0.03,0.01
150,-0.05,0.03,0.02
151,-0.05,0.03,0.03
152,-0.05,0.03,0.04
153,-0.05,0.04,-0.01
154,-0.05,0.04,0.05
155,-0.05,0.05,-0.01
156,-0.05,0.05,0.02
157,-0.05,0.05,0.03
158,-0.05,0.05,0.04
159,-0.05,0.06,-0.01
160,-0.05,0.06,0.03
161,-0.05,0.07,-0.01
162,-0.05,0.07,0.04
163,-0.05,0.08,-0.02
164,-0.05,0.08,0.04
165,-0.05,0.09,-0.02
166,-0.05,0.09,0.04
167,-0.05,0.1,-0.02
168,-0.05,0.1,0.04
169,-0.05,0.11,-0.02
170,-0.05,0.11,0.04
171,-0.05,0.12,-0.01
172,-0.05,0.12,0.03
173,-0.05,0.13,-0
174,-0.05,0.13,0.02
175,-0.05,0.13,0.03
176,-0.05,0.14,0
177,-0.05,0.14,0.01
178,-0.05,0.14,0.02
179,-0.05,0.14,0.03
180,-0.05,0.15,-0
181,-0.05,0.15,0.01
182,-0.05,0.15,0.02
183,-0.05,0.16,-0.01
184,-0.05,0.16,0.01
185,-0.05,0.17,0
186,-0.04,0.03,-0.02
187,-0.04,0.03,0.03
188,-0.04,0.03,0.04
189,-0.04,0.04,-0.02
190,-0.04,0.04,-0.01
191,-0.04,0.04,0.01
192,-0.04,0.04,0.04
193,-0.04,0.05,-0.02
194,-0.04,0.05,-0.01
195,-0.04,0.05,0.04
196,-0.04,0.06,-0.01
197,-0.04,0.06,0.04
198,-0.04,0.07,-0.02
199,-0.04,0.07,0.04
200,-0.04,0.08,-0.02
201,-0.04,0.08,0.04
202,-0.04,0.09,-0.02
203,-0.04,0.09,0.04
204,-0.04,0.1,-0.02
205,-0.04,0.1,0.04
206,-0.04,0.11,-0.02
207,-0.04,0.11,0.04
208,-0.04,0.12,-0.01
209,-0.04,0.12,0.03
210,-0.04,0.13,0
211,-0.04,0.13,0.01
212,-0.04,0.13,0.02
213,-0.04,0.15,-0
214,-0.04,0.16,-0.01
215,-0.04,0.16,0
216,-0.04,0.17,-0.01
217,-0.04,0.17,0
218,-0.03,0.03,-0.03
219,-0.03,0.03,-0.02
220,-0.03,0.04,-0.03
221,-0.03,0.04,-0.01
222,-0.03,0.04,0
223,-0.03,0.04,0.02
224,-0.03,0.04,0.03
225,-0.03,0.04,0.05
226,-0.03,0.05,-0.02
227,-0.03,0.05,0.04
228,-0.03,0.06,-0.03
229,-0.03,0.06,-0.02
230,-0.03,0.06,0.04
231,-0.03,0.07,-0.03
232,-0.03,0.07,-0.02
233,-0.03,0.07,0.04
234,-0.03,0.08,-0.03
235,-0.03,0.08,0.04
236,-0.03,0.08,0.05
237,-0.03,0.09,-0.03
238,-0.03,0.09,0.04
239,-0.03,0.1,-0.02
240,-0.03,0.1,0.04
241,-0.03,0.11,-0.02
242,-0.03,0.11,0.04
243,-0.03,0.12,-0.01
244,-0.03,0.12,0
245,-0.03,0.12,0.02
246,-0.03,0.12,0.03
247,-0.03,0.13,0.01
248,-0.03,0.16,-0.01
249,-0.03,0.16,0
250,-0.03,0.17,-0.02
251,-0.03,0.17,-0.01
252,-0.03,0.18,-0.01
253,-0.02,0.03,-0.02
254,-0.02,0.04,-0.03
255,-0.02,0.04,-0.01
256,-0.02,0.04,0
257,-0.02,0.04,0.01
258,-0.02,0.04,0.02
259,-0.02,0.04,0.03
260,-0.02,0.04,0.05
261,-0.02,0.05,-0.03
262,-0.02,0.05,0.05
263,-0.02,0.06,-0.03
264,-0.02,0.06,0.05
265,-0.02,0.07,-0.04
266,-0.02,0.07,0.05
267,-0.02,0.08,-0.04
268,-0.02,0.08,0.06
269,-0.02,0.09,-0.04
270,-0.02,0.09,0.05
271,-0.02,0.1,-0.03
272,-0.02,0.1,-0.02
273,-0.02,0.1,0.04
274,-0.02,0.11,-0.02
275,-0.02,0.11,0.04
276,-0.02,0.12,-0.01
277,-0.02,0.12,0.03
278,-0.02,0.13,0
279,-0.02,0.13,0.01
280,-0.02,0.13,0.02
281,-0.02,0.16,-0.01
282,-0.02,0.17,-0.02
283,-0.02,0.17,-0.01
284,-0.02,0.18,-0.02
285,-0.02,0.18,-0.01
286,-0.02,0.19,-0.02
287,-0.01,0.03,-0.02
288,-0.01,0.04,-0.03
289,-0.01,0.04,-0.01
290,-0.01,0.04,0
291,-0.01,0.04,0.01
292,-0.01,0.04,0.02
293,-0.01,0.04,0.03
294,-0.01,0.04,0.05
295,-0.01,0.05,-0.03
296,-0.01,0.05,0.05
297,-0.01,0.06,-0.03
298,-0.01,0.06,0.05
299,-0.01,0.07,-0.04
300,-0.01,0.07,0.06
301,-0.01,0.08,-0.04
302,-0.01,0.08,0.06
303,-0.01,0.09,-0.04
304,-0.01,0.09,0.06
305,-0.01,0.1,-0.03
306,-0.01,0.1,-0.02
307,-0.01,0.1,0.05
308,-0.01,0.11,-0.02
309,-0.01,0.11,0.04
310,-0.01,0.12,-0.01
311,-0.01,0.12,0.04
312,-0.01,0.13,0
313,-0.01,0.13,0.01
314,-0.01,0.13,0.02
315,-0.01,0.13,0.03
316,-0.01,0.17,-0.03
317,-0.01,0.17,-0.02
318,0,0.03,-0.02
319,0,0.03,0.04
320,0,0.04,-0.02
321,0,0.04,-0.01
322,0,0.04,0
323,0,0.04,0.01
324,0,0.04,0.02
325,0,0.04,0.03
326,0,0.04,0.05
327,0,0.05,-0.03
328,0,0.05,0.05
329,0,0.06,-0.03
330,0,0.06,0.06
331,0,0.07,-0.03
332,0,0.07,0.06
333,0,0.08,-0.04
334,0,0.08,0.06
335,0,0.09,-0.03
336,0,0.09,0.06
337,0,0.1,-0.03
338,0,0.1,-0.02
339,0,0.1,0.05
340,0,0.11,-0.02
341,0,0.11,0.04
342,0,0.12,-0.01
343,0,0.12,0.04
344,0,0.13,0
345,0,0.13,0.01
346,0,0.13,0.02
347,0,0.13,0.03
348,0.01,0.03,-0.02
349,0.01,0.03,-0.01
350,0.01,0.03,0
351,0.01,0.03,0.02
352,0.01,0.04,-0.02
353,0.01,0.04,0.03
354,0.01,0.04,0.04
355,0.01,0.05,-0.03
356,0.01,0.05,0.05
357,0.01,0.06,-0.03
358,0.01,0.06,0.05
359,0.01,0.07,-0.03
360,0.01,0.07,0.05
361,0.01,0.08,-0.03
362,0.01,0.08,0.05
363,0.01,0.09,-0.03
364,0.01,0.09,0.05
365,0.01,0.1,-0.02
366,0.01,0.1,0.05
367,0.01,0.11,-0.02
368,0.01,0.12,-0.01
369,0.01,0.12,0.04
370,0.01,0.13,0
371,0.01,0.13,0.01
372,0.01,0.13,0.02
373,0.01,0.13,0.03
374,0.02,0.03,0
375,0.02,0.04,-0.02
376,0.02,0.04,-0.01
377,0.02,0.04,0.02
378,0.02,0.04,0.03
379,0.02,0.04,0.04
380,0.02,0.05,-0.02
381,0.02,0.05,0.04
382,0.02,0.06,-0.03
383,0.02,0.07,-0.03
384,0.02,0.07,0.05
385,0.02,0.08,-0.03
386,0.02,0.08,0.05
387,0.02,0.09,-0.03
388,0.02,0.09,0.05
389,0.02,0.1,-0.02
390,0.02,0.1,0.05
391,0.02,0.11,-0.02
392,0.02,0.11,0.04
393,0.02,0.12,-0.01
394,0.02,0.12,0.03
395,0.02,0.13,0
396,0.02,0.13,0.01
397,0.02,0.13,0.02
398,0.03,0.04,-0
399,0.03,0.04,0.01
400,0.03,0.04,0.02
401,0.03,0.04,0.03
402,0.03,0.05,-0.02
403,0.03,0.05,-0.01
404,0.03,0.05,0.04
405,0.03,0.06,-0.02
406,0.03,0.06,0.04
407,0.03,0.07,-0.02
408,0.03,0.07,0.04
409,0.03,0.08,-0.02
410,0.03,0.08,0.04
411,0.03,0.09,-0.02
412,0.03,0.09,0.04
413,0.03,0.1,-0.02
414,0.03,0.1,0.04
415,0.03,0.11,-0.01
